"Show_Name","English","Type","Episodes","Rank","Score","Users","Popularity","Members","Favorites","Genre","Source","Licensors","Studios","Producers","Premiered"
"Neon Genesis Evangelion: The End of Evangelion","Neon Genesis Evangelion: The End of Evangelion","Movie","1","114","8.48","194329","216","296948","8206","Sci-Fi, Dementia, Psychological, Drama, Mecha","Original","Manga Entertainment","Gainax, Production I.G","TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka",""
"Yuu<U+2606>Yuu<U+2606>Hakusho","","","","115","","","","","","","","","","",""
"Barakamon","Barakamon","TV","12","116","8.47","176807","176","329040","7413","Comedy, Slice of Life","Web manga","Funimation","Kinema Citrus","VAP, Nippon Television Network","Summer 2014"
"Chihayafuru 2","","TV","25","117","8.47","62830","759","114601","1116","Drama, Game, Josei, School, Slice of Life, Sports","Manga","Sentai Filmworks","Madhouse","VAP, Nippon Television Network","Winter 2013"
"Hunter x Hunter","Hunter x Hunter","TV","62","118","8.47","115441","313","230122","5943","Action, Adventure, Shounen, Super Power","Manga","Viz Media","Nippon Animation","Fuji TV","Fall 1999"
"Kaze no Tani no Nausicaä","","","","119","","","","","","","","","","",""
"Mahou Shoujo Madoka<U+2605>Magica Movie 3: Hangyaku no Monogatari","","","","120","","","","","","","","","","",""
"Natsume Yuujinchou Roku Specials","","Special","2","121","8.47","4957","3286","13206","22","Slice of Life, Supernatural, Drama, Fantasy, Shoujo","Manga","None found, add some","Shuka","None found, add some",""
"Shingeki no Kyojin Season 2","Attack on Titan Season 2","TV","12","122","8.47","351030","46","652523","7463","Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","Manga","Funimation","Wit Studio","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Mad Box, Shingeki no Kyojin Team, Pony Canyon Enterprise","Spring 2017"
"Detective Conan: Episode One - The Great Detective Turned Small","","Special","1","123","8.46","4349","3624","10399","36","Adventure, Mystery, Comedy, Police, Shounen","Manga","None found, add some","TMS Entertainment","YTV",""
"Ghost in the Shell: Stand Alone Complex","Ghost in the Shell: Stand Alone Complex","TV","26","124","8.46","110475","274","252573","6750","Action, Military, Sci-Fi, Police, Mecha, Seinen","Manga","Bandai Entertainment, Manga Entertainment","Production I.G","Bandai Visual, Dentsu, Victor Entertainment, Kodansha, Trilogy Future Studio, Tokuma Shoten, Nippon Television Network","Fall 2002"
"Mahou Shoujo Madoka<U+2605>Magica","","","","125","","","","","","","","","","",""
"Major S6","","TV","25","126","8.46","20035","1985","33287","309","Comedy, Drama, Sports","Manga","None found, add some","SynergySP","NHK","Spring 2010"
"Major: World Series","","OVA","2","127","8.46","11007","2741","18968","72","Comedy, Drama, Sports","Manga","None found, add some","SynergySP","None found, add some",""
"Mobile Suit Gundam: The Origin","Mobile Suit Gundam: The Origin","OVA","6","128","8.47","5638","2186","28370","240","Action, Military, Sci-Fi, Space, Mecha, Shounen","Manga","NYAV Post","Sunrise","None found, add some",""
"Mononoke","Mononoke","TV","12","129","8.46","37032","664","126348","3703","Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen","Original","Flatiron Film Company","Toei Animation","Fuji TV","Summer 2007"
"Quanzhi Gaoshou (2018)","The King's Avatar (2018)","ONA","3","130","8.46","4695","2360","25661","103","Action, Game","Novel","None found, add some","None found, add some","Tencent Penguin Pictures, China Literature Limited, Colored-Pencil Animation Design",""
"Shokugeki no Souma: Ni no Sara","Food Wars! The Second Plate","TV","13","131","8.46","236546","127","393831","2327","Ecchi, School, Shounen","Manga","Sentai Filmworks","J.C.Staff","Dentsu, Lantis, Mainichi Broadcasting System, KlockWorx, Showgate, Shueisha","Summer 2016"
"Uchuu Senkan Yamato 2199","Star Blazers 2199","OVA","26","132","8.46","21208","1279","63842","1233","Action, Military, Sci-Fi, Space, Drama","Original","Funimation","Xebec, AIC","Production I.G, Bandai Visual, OLM, Lantis, Shochiku, Bandai, Tohokushinsha Film Corporation, Bandai Namco Games, Voyager Entertainment",""
"Kenpuu Denki Berserk","Berserk","TV","25","133","8.45","154124","210","302440","12581","Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural","Manga","Media Blasters, NYAV Post","OLM","VAP, Hakusensha, Nippon Television Network","Fall 1997"
"Mahou Shoujo Madoka<U+2605>Magica Movie 2: Eien no Monogatari","","","","134","","","","","","","","","","",""
"Psycho-Pass","Psycho-Pass","TV","22","135","8.45","377406","29","752834","24133","Action, Police, Psychological, Sci-Fi","Original","Funimation","Production I.G","Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, Kyoraku Industrial Holdings","Fall 2012"
"Romeo no Aoi Sora","Romeo and the Black Brothers","TV","33","136","8.45","7975","2522","22179","316","Adventure, Drama, Historical, Slice of Life","Novel","None found, add some","Nippon Animation","None found, add some","Winter 1995"
"Tonari no Totoro","My Neighbor Totoro","Movie","1","137","8.45","263038","118","406225","4206","Adventure, Comedy, Supernatural","Original","Walt Disney Studios, GKIDS","Studio Ghibli","Studio Fantasia",""
"Boku no Hero Academia","My Hero Academia","TV","13","138","8.44","496612","27","768256","19875","Action, Comedy, School, Shounen, Super Power","Manga","Funimation","Bones","Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha","Spring 2016"
"Evangelion: 2.0 You Can (Not) Advance","Evangelion: 2.0 You Can (Not) Advance","Movie","1","139","8.44","142074","295","236359","2173","Action, Sci-Fi, Mecha","Original","Funimation","Khara","Gainax, KlockWorx",""
"Fate/Zero","Fate/Zero","TV","13","140","8.44","375749","43","667694","21047","Action, Supernatural, Magic, Fantasy","Novel","Aniplex of America","ufotable","Aniplex, Nitroplus, Seikaisha, Notes","Fall 2011"
"Katanagatari","Katanagatari","TV","12","141","8.44","118515","230","286571","7798","Action, Adventure, Historical, Martial Arts, Romance","Light novel","NIS America, Inc.","White Fox","Aniplex, Lantis, Kodansha, Movic, Fuji TV","Winter 2010"
"Magi: The Kingdom of Magic","Magi: The Kingdom of Magic","TV","25","142","8.44","202513","140","373602","5563","Action, Adventure, Magic, Fantasy, Shounen","Manga","Aniplex of America","A-1 Pictures","Aniplex, Dentsu, Shogakukan Productions, Mainichi Broadcasting System, Movic, GYAO!","Fall 2013"
"Owarimonogatari","Owarimonogatari","TV","12","143","8.44","89394","393","192801","1177","Mystery, Comedy, Supernatural, Vampire","Light novel","Aniplex of America","Shaft","Aniplex","Fall 2015"
"Sakamichi no Apollon","Kids on the Slope","TV","12","144","8.44","94108","391","193365","4609","Drama, Josei, Music, Romance, School","Manga","Sentai Filmworks","Tezuka Productions, MAPPA","Dentsu, Fuji TV, Toho, DAX Production, Sony Music Entertainment","Spring 2012"
"Shirobako","Shirobako","TV","24","145","8.44","74386","326","223360","4595","Comedy, Drama","Original","Sentai Filmworks","P.A. Works","Sotsu, Movic, Warner Bros., KlockWorx, Showgate, Infinite","Fall 2014"
"Steins;Gate: Oukoubakko no Poriomania","Steins;Gate: Egoistic Poriomania","Special","1","146","8.44","145155","329","222353","556","Sci-Fi, Comedy, Thriller","Visual novel","Funimation","White Fox","Frontier Works",""
"3-gatsu no Lion","March comes in like a lion","TV","22","147","8.43","66909","390","193805","3950","Game, Slice of Life, Drama, Seinen","Manga","Aniplex of America","Shaft","Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace Entertainment, Toy's Factory","Fall 2016"
"Kemono no Souja Erin","Erin","TV","50","148","8.43","12362","1544","49375","1104","Drama, Fantasy, Slice of Life","Novel","None found, add some","Production I.G, Trans Arts","NHK","Winter 2009"
"Kino no Tabi: The Beautiful World","Kino's Journey","TV","13","149","8.43","51221","560","147379","4627","Action, Adventure, Slice of Life, Psychological","Light novel","ADV Films, Sentai Filmworks","A.C.G.T.","WOWOW, Genco, Pony Canyon, Studio Wombat, chara-ani.com, ASCII Media Works","Spring 2003"
"Kizumonogatari I: Tekketsu-hen","Kizumonogatari Part 1: Tekketsu","Movie","1","150","8.43","82156","392","193380","1037","Mystery, Supernatural, Vampire","Light novel","Aniplex of America","Shaft","Aniplex, Kodansha",""
